"item" "roi" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "PB" "IC" "SC"
"270" 14 20 3 "करनी" 0 59 9800 1 20 4 20 6 0
"271" 14 21 1 "थी" 0 888 3255 3 384 2 20 0 0
"272" 14 22 1 "।" 0 19415 18846 579 2058 1 20 0 0
"273" 15 1 3 "लेकिन" 1.5 859 859 NA NA 5 1 0 1
"274" 15 2 3 "बिपाशा" 1 8 8 NA NA 6 2 0 1
"275" 15 3 1 "के" 0.5 18820 25348 NA 2 2 2 0 2
"276" 15 4 2 "इस" 0 3071 8126 121 325 2 2 0 2
"277" 15 5 3 "कदम" 0 95 104 7 18 3 2 1 1
"278" 15 6 1 "से" 0.5 7203 25348 5 8 2 2 0 1
"279" 15 7 2 "वहां" 0.5 187 240 6 2 4 7 0 1
"280" 15 8 2 "रंग" 0.5 19 23 1 1 3 8 0 1
"281" 15 9 1 "में" 1 12692 25348 4 6 3 8 0 1
"282" 15 10 2 "भंग" 0.5 29 29 3 NA 3 8 1 1
"283" 15 11 2 "पड़" 0 63 234 1 NA 2 11 17 0
"284" 15 12 2 "गया" 0 1961 7560 6 11 3 11 0 0
"285" 15 13 1 "।" 0 19415 18846 538 1871 1 11 0 0
"286" 16 1 2 "बड़े" 1 77 170 NA NA 4 1 0 1
"287" 16 2 4 "अफ़सरों" 1 NA NA NA NA 7 1 0 1
"288" 16 3 1 "ने" 0.5 6947 12697 NA NA 2 1 0 1
"289" 16 4 2 "पूरे" 1 133 566 10 27 4 4 0 2
"290" 16 5 3 "मामले" 0.5 559 794 15 16 5 4 0 1
"291" 16 6 1 "की" 0 11321 25348 100 159 2 4 0 2
"292" 16 7 2 "जांच" 0.5 287 287 97 98 4 4 1 1
"293" 16 8 1 "की" 0 11321 25348 28 36 2 4 0 2
"294" 16 9 2 "बात" 0 616 672 135 146 3 4 1 1
"295" 16 10 2 "कही" 0 52 3906 34 47 3 10 7 0
"296" 16 11 1 "है" 0.5 10733 14482 12 686 2 10 0 0
"297" 16 12 1 "।" 0 19415 18846 6561 8730 1 10 0 0
"298" 17 1 3 "लेकिन" 1.5 859 859 NA NA 5 1 0 1
"299" 17 2 3 "बिपाशा" 1 8 8 NA NA 6 2 0 1
"300" 17 3 1 "के" 0.5 18820 25348 NA 2 2 2 0 2
"301" 17 4 2 "साथ" 0 1188 1190 757 21 3 2 0 1
"302" 17 5 5 "बदतमीजी" 0 3 3 1 1 7 5 2 1
"303" 17 6 1 "के" 0.5 18820 25348 2 NA 2 5 0 2
"304" 17 7 3 "चलते" 0.5 92 469 56 5 4 7 1 1
"305" 17 8 2 "अभी" 0 276 603 1 NA 3 8 0 1
"306" 17 9 2 "गार्ड्स" 3 2 25 1 NA 7 9 0 1
"307" 17 10 1 "के" 0.5 18820 25348 1 8 2 9 0 2
"308" 17 11 3 "खिलाफ" 1 352 389 301 NA 5 9 1 1
"309" 17 12 2 "कोई" 0 788 1337 7 7 3 14 0 2
"310" 17 13 4 "कार्रवाई" 1 156 160 12 12 8 14 0 1
"311" 17 14 2 "नहीं" 0.5 2830 NA 14 NA 4 14 0 1
"312" 17 15 1 "की" 0 11321 25348 70 NA 2 14 30 0
"313" 17 16 2 "गई" 0 1045 7560 273 4 2 14 0 0
"314" 17 17 1 "।" 0 19415 18846 298 1871 1 14 0 0
"315" 18 1 3 "फिल्म" 1.5 107 135 NA NA 5 1 0 1
"316" 18 2 5 "फ़ेसटीवल" 1 NA NA NA NA 8 1 0 1
"317" 18 3 1 "में" 1 12692 25348 NA NA 3 1 0 1
"318" 18 4 3 "प्रकाश" 1 78 78 2 5 6 4 0 1
"319" 18 5 1 "झा" 0 6 6 1 1 2 4 0 1
"320" 18 6 1 "की" 0 11321 25348 2 3 2 4 0 2
"321" 18 7 2 "नई" 0 181 365 17 45 2 4 0 2
"322" 18 8 3 "फिल्म" 1.5 107 135 3 3 5 4 2 1
"323" 18 9 4 "राजनीति" 1 60 150 NA NA 7 9 0 1
"324" 18 10 1 "का" 0 5500 25348 3 1 2 9 0 2
"325" 18 11 1 "भी" 0 3079 3081 85 189 2 9 0 2
"326" 18 12 4 "प्रीमियर" 2 2 2 1 1 8 13 1 1
"327" 18 13 2 "होना" 0 100 5915 1 1 4 13 9 0
"328" 18 14 1 "है" 0.5 10733 14482 9 603 2 13 0 0
"329" 18 15 1 "।" 0 19415 18846 6561 8730 1 13 0 0
"330" 19 1 4 "गंगाजल" 0.5 1 1 NA NA 6 1 0 1
"331" 19 2 1 "के" 0.5 18820 25348 1 NA 2 1 0 2
"332" 19 3 2 "बाद" 0 1294 1294 861 2 3 1 0 1
"333" 19 4 1 "झा" 0 6 6 1 1 2 4 0 1
"334" 19 5 1 "की" 0 11321 25348 2 3 2 4 0 2
"335" 19 6 2 "यह" 0 1750 8126 32 325 2 6 0 2
"336" 19 7 2 "किसी" 1 550 1337 4 42 4 7 0 2
"337" 19 8 3 "अलग" 0 221 222 1 1 3 7 0 2
"338" 19 9 2 "मुद्दे" 2.5 226 347 NA NA 6 7 1 1
"339" 19 10 2 "पर" 0 5002 7193 165 2 2 7 0 1
"340" 19 11 2 "बनी" 0 61 649 5 7 3 11 1 2
"341" 19 12 3 "दूसरी" 0.5 161 398 1 1 5 12 0 2
"342" 19 13 3 "फिल्म" 1.5 107 135 1 1 5 12 7 1
"343" 19 14 1 "है" 0.5 10733 14482 2 2 2 14 9 0
"344" 19 15 1 "।" 0 19415 18846 6561 8730 1 14 0 0
"345" 20 1 2 "इस" 0 3071 8126 NA NA 2 1 0 2
"346" 20 2 3 "फिल्म" 1.5 107 135 11 20 5 1 0 1
"347" 20 3 1 "में" 1 12692 25348 11 25 3 1 0 1
"348" 20 4 4 "कटरीना" 0 NA NA NA NA 6 4 0 1
"349" 20 5 2 "कैफ़" 1 NA NA NA NA 4 4 0 1
"350" 20 6 1 "ने" 0.5 6947 12697 NA NA 2 4 0 1
"351" 20 7 1 "भी" 0 3079 3081 147 232 2 4 0 1
"352" 20 8 3 "बतौर" 0 19 19 2 2 4 8 0 2
"353" 20 9 4 "हीरोईन" 0 NA NA NA NA 6 8 0 1
"354" 20 10 2 "काम" 0 344 349 NA NA 3 11 0 1
"355" 20 11 2 "किया" 1 1984 9800 12 145 4 11 14 0
"356" 20 12 1 "है" 0.5 10733 14482 380 1003 2 11 0 0
"357" 20 13 1 "।" 0 19415 18846 6561 8730 1 11 0 0
"358" 21 1 3 "सोनल" 0 9 9 NA NA 4 1 0 1
"359" 21 2 1 "ने" 0.5 6947 12697 5 NA 2 1 0 1
"360" 21 3 3 "बताया" 0 816 1026 405 29 5 3 1 0
"361" 21 4 1 "कि" 1 6478 25348 655 9 2 4 0 1
"362" 21 5 2 "जजों" 0.5 13 53 2 NA 4 5 0 1
"363" 21 6 1 "ने" 0.5 6947 12697 2 NA 2 5 0 1
"364" 21 7 2 "जब" 0 340 341 16 19 2 7 0 2
"365" 21 8 3 "उससे" 0.5 62 6262 1 45 4 8 0 2
"366" 21 9 2 "पूछा" 0.5 44 141 1 8 4 9 3 1
"367" 21 10 1 "कि" 1 6478 25348 7 1 2 10 0 2
"368" 21 11 3 "आपसे" 0.5 5 250 1 1 4 11 0 2
"369" 21 12 3 "आपकी" 0 20 250 1 1 4 12 0 3
"370" 21 13 3 "जगह" 0 100 120 1 1 3 12 0 2
"371" 21 14 2 "किसी" 1 550 1337 2 4 4 14 0 2
"372" 21 15 2 "और" 0 5122 5122 11 17 2 14 0 2
"373" 21 16 1 "का" 0 5500 25348 3 4 2 14 0 3
"374" 21 17 2 "नाम" 0 265 273 64 162 3 14 1 2
"375" 21 18 2 "पूछा" 0.5 44 141 1 1 4 18 10 1
"376" 21 19 2 "जाए" 0 197 7560 1 80 3 18 0 1
